Year,S&P Nominal Return ,3month TBill Nominal Return,10Year TBond Nominal Return, Baa Corporate Bond Nominal Return,Real Estate Nominal Return,S&P 500 Real Return,3month TBill Real Return,10Year TBond Real Return,Baa Corp Bonds Real Return,Real Estate Real Return,Inflation Rate,Historical Risk Premium
1928,0.438111552,0.0308,0.008354709,0.032195515,0.014910537,0.454931579,0.042856147,0.020148337,0.044267984,0.026780842,-0.0115607,
1929,-0.082979466,0.0316,0.042038042,0.030178562,-0.020568071,-0.088311023,0.025602278,0.035979633,0.024189105,-0.026262487,0.005848,
1930,-0.251236364,0.0455,0.045409314,0.005397809,-0.043,-0.20007859,0.116931691,0.116834809,0.074089599,0.022385106,-0.0639535,
1931,-0.438375489,0.0231,-0.02558856,-0.156807751,-0.081504702,-0.380674342,0.128213011,0.074522203,-0.070178412,0.012861251,-0.0931677,
1932,-0.086423645,0.0107,0.08790307,0.235896017,-0.104664391,0.018184305,0.126428975,0.212472089,0.377410788,-0.002145076,-0.1027397,
1933,0.499822254,0.0096,0.018552721,0.129668937,-0.038119441,0.488459946,0.001951503,0.0108364,0.121110825,-0.045406426,0.0076336,
1934,-0.011885657,0.002783333,0.079634426,0.188164293,0.029062087,-0.026633618,-0.012183567,0.063520495,0.170430515,0.013702967,0.0151515,
1935,0.467404211,0.001675,0.044720477,0.133077319,0.097658337,0.424870819,-0.027359014,0.01443877,0.100234547,0.065842201,0.0298507,
1936,0.319434103,0.001725,0.050178754,0.113838159,0.032186015,0.300584985,-0.012585402,0.035176153,0.097926135,0.017440454,0.0144928,
1937,-0.353367288,0.002758333,0.013791461,-0.044161917,0.025633912,-0.37132929,-0.025096038,-0.014369386,-0.070712949,-0.002855891,0.0285714,
1938,0.29282654,0.00065,0.042132485,0.092358817,-0.008736814,0.329764472,0.029240024,0.071907724,0.123569095,0.019585015,-0.0277778,
1939,-0.010975647,0.000458333,0.044122614,0.079831378,-0.013016072,-0.010975647,0.000458333,0.044122614,0.079831378,-0.013016072,0,
1940,-0.106728732,0.000358333,0.054024816,0.086481372,0.033066077,-0.113064027,-0.006736449,0.046549418,0.078775784,0.025739323,0.0071429,
1941,-0.127714556,0.001291667,-0.020221976,0.050071729,-0.083846277,-0.206501642,-0.089147597,-0.108718072,-0.044773477,-0.166595661,0.0992908,
1942,0.191737629,0.003425,0.022948682,0.05179901,0.033330412,0.093013783,-0.079698981,-0.061792645,-0.035332286,-0.052270941,0.0903226,
1943,0.250613101,0.0038,0.0249,0.080446701,0.1144626,0.214675942,-0.025044829,-0.004551151,0.04939938,0.082437811,0.0295858,
1944,0.190306769,0.0038,0.025776112,0.065658636,0.165842275,0.163558309,-0.018757298,0.002724969,0.041711257,0.139643578,0.0229885,
1945,0.358210843,0.0038,0.038044173,0.067998655,0.117773765,0.328360069,-0.018261529,0.015230026,0.044526167,0.093207319,0.0224719,
1946,-0.084291475,0.0038,0.031283745,0.02508033,0.241016857,-0.224842098,-0.150271641,-0.127006332,-0.132257595,0.050535183,0.1813187,
1947,0.052,0.006008333,0.009196968,0.002621202,0.21263881,-0.03341881,-0.07567611,-0.072746381,-0.078788217,0.114176678,0.0883721,
1948,0.057045752,0.01045,0.019510369,0.034369596,0.020585154,0.026343208,-0.018899142,-0.010101936,0.004325695,-0.00905837,0.0299145,
1949,0.183032237,0.01115,0.046634852,0.053773011,0.000893485,0.208096494,0.032572682,0.068809332,0.076098724,0.022098868,-0.0207469,
1950,0.30805539,0.012033333,0.004295957,0.042388173,0.036403925,0.234804328,-0.044640503,-0.051944586,-0.015985533,-0.021634663,0.059322,
1951,0.23678463,0.015175,-0.002953139,-0.001909809,0.060476481,0.166777953,-0.042287736,-0.059389754,-0.05840548,0.000449511,0.06,
1952,0.181509886,0.017225,0.022679962,0.044412415,0.04406682,0.17265959,0.009605307,0.015019407,0.03658907,0.036246064,0.0075472,
1953,-0.012082047,0.018908333,0.041438403,0.016201124,0.115165685,-0.019427127,0.011332844,0.033695404,0.008645762,0.106874531,0.0074906,
1954,0.525633212,0.009383333,0.032898035,0.061579052,0.00922722,0.537061108,0.016944212,0.040635052,0.069530907,0.016786929,-0.0074349,
1955,0.325973319,0.01725,-0.013364391,0.0204469,0,0.321025681,0.01345431,-0.017045849,0.016639281,-0.003731325,0.0037453,
1956,0.074395119,0.026275,-0.022557738,-0.023526542,0.009142857,0.043253278,-0.003472057,-0.050889355,-0.051830078,-0.020107616,0.0298507,
1957,-0.104573602,0.03225,0.067970128,-0.007189284,0.027180068,-0.129796875,0.003172542,0.03788647,-0.035155777,-0.001754575,0.0289855,
1958,0.43719955,0.017708333,-0.020990182,0.064300929,0.006615215,0.412334553,0.000100956,-0.037928036,0.045887453,-0.01080024,0.0176056,
1959,0.120564572,0.033858333,-0.026466313,0.015743431,0.00109529,0.101507392,0.016275747,-0.043022972,-0.00153108,-0.015930103,0.017301,
1960,0.003365353,0.028833333,0.116395037,0.066631872,0.007658643,-0.010102597,0.015023532,0.101409914,0.052314709,-0.005866935,0.0136054,0.061119788
1961,0.26637713,0.023541667,0.020609208,0.051,0.009771987,0.257934627,0.016718065,0.013805156,0.043993343,0.003040183,0.0067114,0.066173592
1962,-0.088114605,0.027733333,0.056935441,0.06495328,0.003225806,-0.100113068,0.01421056,0.04302843,0.050940771,-0.009974501,0.0133333,0.059683465
